"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"391","Same",1,4,"Esperanto",0.000593119810201661,9,7
"392","alju",1,4,"Esperanto",0.000593119810201661,7,7
"393","ĝita",1,4,"Esperanto",0.000593119810201661,5,7
"394","severa",1,6,"Esperanto",0.000593119810201661,4,7
"395","puno",1,4,"Esperanto",0.000593119810201661,6,7
"396","ol",1,2,"Esperanto",0.000593119810201661,6,7
"397","aplikebla",1,9,"Esperanto",0.000593119810201661,10,7
"398","plenumita",1,9,"Esperanto",0.000593119810201661,9,7
"399","intervenojn",1,11,"Esperanto",0.000593119810201661,11,7
"400","privatecon",1,10,"Esperanto",0.000593119810201661,10,7
"401","hejmon",1,6,"Esperanto",0.000593119810201661,1,7
"402","korespondadon",1,13,"Esperanto",0.000593119810201661,4,7
"403","atakojn",1,7,"Esperanto",0.000593119810201661,6,7
"404","honoro",1,6,"Esperanto",0.000593119810201661,5,7
"405","reputacio",1,9,"Esperanto",0.000593119810201661,8,7
"406","juran",1,5,"Esperanto",0.000593119810201661,9,7
"407","tiaj",1,4,"Esperanto",0.000593119810201661,9,7
"408","atakoj",1,6,"Esperanto",0.000593119810201661,5,7
"409","movi",1,4,"Esperanto",0.000593119810201661,4,7
"410","interne",1,7,"Esperanto",0.000593119810201661,5,7
"411","limoj",1,5,"Esperanto",0.000593119810201661,9,7
"412","ŝtato",1,5,"Esperanto",0.000593119810201661,7,7
"413","eliri",1,5,"Esperanto",0.000593119810201661,9,7
"414","inkl",1,4,"Esperanto",0.000593119810201661,4,7
"415","uzive",1,5,"Esperanto",0.000593119810201661,10,7
"416","propran",1,7,"Esperanto",0.000593119810201661,6,7
"417","reveni",1,6,"Esperanto",0.000593119810201661,5,7
"418","landon",1,6,"Esperanto",0.000593119810201661,4,7
"419","landoj",1,6,"Esperanto",0.000593119810201661,4,7
"420","azilon",1,6,"Esperanto",0.000593119810201661,9,7
"421","kontraŭ",1,7,"Esperanto",0.000593119810201661,11,7
"422","persekuto",1,9,"Esperanto",0.000593119810201661,2,7
"423","Tiu",1,3,"Esperanto",0.000593119810201661,4,7
"424","alvokebla",1,9,"Esperanto",0.000593119810201661,8,7
"425","kazoj",1,5,"Esperanto",0.000593119810201661,10,7
"426","persekutaj",1,10,"Esperanto",0.000593119810201661,6,7
"427","akuzoj",1,6,"Esperanto",0.000593119810201661,8,7
"428","malfalse",1,8,"Esperanto",0.000593119810201661,5,7
"429","levitaj",1,7,"Esperanto",0.000593119810201661,6,7
"430","krimoj",1,6,"Esperanto",0.000593119810201661,6,7
"431","ŭaj",1,3,"Esperanto",0.000593119810201661,8,7
"432","Unuiĝintaj",1,10,"Esperanto",0.000593119810201661,3,7
"433","ŝtataneco",1,9,"Esperanto",0.000593119810201661,3,8
"434","rifuzita",1,8,"Esperanto",0.000593119810201661,4,8
"435","Plenaĝ",1,6,"Esperanto",0.000593119810201661,5,8
"436","nacieco",1,7,"Esperanto",0.000593119810201661,3,8
"437","edzi",1,4,"Esperanto",0.000593119810201661,3,8
